dataset,source,n,d,IR,R_mean,R_std,R_n_mean,R_n_std,R_p_mean,R_p_std,R_g_mean,R_g_std,C_mean,C_std,pct_arch_A,pct_arch_C,archetype_label,archetype_main_label,pct_comp_O,pct_comp_B,pct_comp_D,compensation_label,compensation_main_label
glass1,KEEL,214,9,1.816,0.7548,0.0474,0.5507,0.0056,1.2396,0.0413,0.8578,0.0784,1.2942,0.0674,3.3,96.7,CA,C,0.0,0.0,100.0,D,D
ecoli-0_vs_1,KEEL,220,7,1.857,2.0864,0.3847,0.5385,0.0067,1.4446,0.114,2.8399,0.3456,0.9453,0.1041,100.0,0.0,A,A,100.0,0.0,0.0,O,O
wisconsin,KEEL,683,9,1.858,1.9359,0.2474,0.5383,0.0014,1.9832,0.2078,4.8367,0.0647,0.3747,0.0255,100.0,0.0,A,A,100.0,0.0,0.0,O,O
pima,KEEL,768,8,1.866,0.9001,0.0289,0.536,0.0012,1.2881,0.0165,1.4365,0.0516,0.9079,0.0153,100.0,0.0,A,A,0.0,0.0,100.0,D,D
iris0,KEEL,150,4,2.0,3.342,0.2068,0.5,0.0,1.9848,0.0107,1.9946,0.0688,1.6888,0.0944,100.0,0.0,A,A,100.0,0.0,0.0,O,O
glass0,KEEL,214,9,2.057,0.5491,0.0486,0.4861,0.0017,1.7355,0.049,0.3048,0.0254,2.143,0.1869,0.0,100.0,C,C,0.0,0.0,100.0,D,D
yeast1,KEEL,1484,8,2.459,0.535,0.0282,0.4066,0.0005,1.3508,0.0211,0.7885,0.0298,1.2358,0.0554,0.0,100.0,C,C,0.0,0.0,100.0,D,D
haberman,KEEL,306,3,2.778,0.5243,0.0336,0.36,0.0023,1.14,0.0288,1.3943,0.1407,0.922,0.072,100.0,0.0,A,A,0.0,0.0,100.0,D,D
vehicle2,KEEL,846,18,2.881,0.7462,0.0323,0.3471,0.0012,2.4984,0.0552,1.004,0.0555,0.859,0.0467,56.7,43.3,AC,A,0.0,0.0,100.0,D,D
vehicle1,KEEL,846,18,2.899,0.637,0.0127,0.345,0.0012,1.8434,0.038,0.974,0.0202,1.0287,0.0148,10.0,90.0,CA,C,0.0,0.0,100.0,D,D
