dataset,source,IR,n,d,fiis_R_n,fiis_R_p,fiis_R_g,fiis_C,fiis_R,fiis_trace_0,fiis_trace_1
abalone,imblearn,9.683,4177,10,0.1033,2.6045,1.01,0.991,0.2692,2080.8854,560.0328
abalone-17_vs_7-8-9-10,KEEL,39.31,2338,10,0.0254,6.5633,1.7566,0.731,0.2141,414.3269,87.5535
abalone-19_vs_10-11-12-13,KEEL,49.688,1622,10,0.0201,2.5065,0.8188,1.1138,0.0464,230.3962,10.6965
abalone-20_vs_8-9-10,KEEL,72.692,1916,10,0.0138,13.9556,1.5281,0.7001,0.2061,193.8921,39.2991
abalone-21_vs_8,KEEL,40.5,581,10,0.0247,12.0573,3.6025,0.5708,0.6064,69.0185,41.283
abalone9-18,KEEL,16.405,731,10,0.061,4.1473,1.614,0.8519,0.3464,165.0999,57.1674
abalone_19,imblearn,129.531,4177,10,0.0077,2.5774,0.9812,0.9634,0.019,320.1537,6.0701
arrhythmia,imblearn,17.08,452,278,0.0585,14.431,0.504,1.5717,0.6668,386.9601,257.6654
car_eval_34,imblearn,11.896,1728,21,0.0841,10.4263,1.0002,0.9998,0.8765,298.7056,261.7099
car_eval_4,imblearn,25.585,1728,21,0.0391,23.1732,1.0003,0.9998,0.9058,180.3032,163.2517
cleveland-0_vs_4,KEEL,12.308,173,13,0.0812,9.7951,2.1987,0.5493,0.9602,36.5176,34.8302
coil_2000,imblearn,15.761,9822,85,0.0634,2.1194,1.2862,1.228,0.2124,31370.4011,6661.4777
ecoli,imblearn,8.6,336,7,0.1163,5.1034,1.0755,0.8467,0.531,65.4034,34.1842
ecoli-0-1-3-7_vs_2-6,KEEL,39.143,281,7,0.0256,9.6857,4.7963,0.5475,0.6254,22.5627,13.8544
ecoli-0-1-4-6_vs_5,KEEL,13.0,280,6,0.0769,5.8012,1.8775,0.6621,0.5511,37.8139,20.6555
ecoli-0-1-4-7_vs_2-3-5-6,KEEL,10.586,336,7,0.0945,4.3054,4.9626,0.3899,0.7587,46.649,35.1865
ecoli-0-1-4-7_vs_5-6,KEEL,12.28,332,6,0.0814,5.8669,3.2583,0.5442,0.8404,39.7545,33.3096
ecoli-0-1_vs_2-3-5,KEEL,9.167,244,7,0.1091,4.6096,5.2246,0.3461,0.8645,34.1707,28.7336
ecoli-0-1_vs_5,KEEL,11.0,240,6,0.0909,5.8106,3.0894,0.608,0.9428,23.4758,21.9557
ecoli-0-2-3-4_vs_5,KEEL,9.1,202,7,0.1099,4.6392,1.8746,0.7441,0.6991,29.9023,21.0631
ecoli-0-2-6-7_vs_3-5,KEEL,9.182,224,7,0.1089,4.3314,4.2334,0.4577,0.8778,41.9432,36.0828
ecoli-0-3-4-6_vs_5,KEEL,9.25,205,7,0.1081,4.4385,1.6138,0.7795,0.5971,31.7424,18.7915
ecoli-0-3-4-7_vs_5-6,KEEL,9.28,257,7,0.1078,4.6926,2.2994,0.6509,0.7411,38.4742,28.416
ecoli-0-3-4_vs_5,KEEL,9.0,200,7,0.1111,4.6562,1.8634,0.7437,0.702,30.5704,21.5306
ecoli-0-4-6_vs_5,KEEL,9.15,203,6,0.1093,4.3985,1.952,0.6409,0.5968,33.8052,20.0776
ecoli-0-6-7_vs_3-5,KEEL,9.091,222,7,0.11,4.3056,4.2395,0.464,0.9056,41.4568,36.8694
ecoli-0-6-7_vs_5,KEEL,10.0,220,6,0.1,4.9349,2.062,0.6878,0.6906,36.26,24.7755
