Classifier,Group,Remedy_1,Remedy_2,W_stat,p_value,p_bonf,sig_nominal,sig_bonferroni,mean_diff,better,n,n_nonzero
logistic_regression,H1,No Correction,Threshold Corr.,0.0,0.0,0.0,True,True,-0.2262,Threshold Corr.,58,58
logistic_regression,H1,No Correction,ROS,6.0,0.0,0.0,True,True,-0.2223,ROS,58,58
logistic_regression,H1,No Correction,SMOTE,5.0,0.0,0.0,True,True,-0.2226,SMOTE,58,58
logistic_regression,H1,No Correction,Borderline SMOTE,1.0,0.0,0.0,True,True,-0.2153,Borderline SMOTE,58,58
logistic_regression,H1,No Correction,Class Weighting,8.0,0.0,0.0,True,True,-0.2224,Class Weighting,58,58
logistic_regression,H1,Threshold Corr.,ROS,575.5,0.030165,0.452469,True,False,0.0039,Threshold Corr.,58,58
logistic_regression,H1,Threshold Corr.,SMOTE,587.0,0.057055,0.855819,False,False,0.0036,Threshold Corr.,58,57
logistic_regression,H1,Threshold Corr.,Borderline SMOTE,491.0,0.004771,0.071564,True,False,0.0109,Threshold Corr.,58,58
logistic_regression,H1,Threshold Corr.,Class Weighting,585.5,0.055512,0.832678,False,False,0.0038,Threshold Corr.,58,57
logistic_regression,H1,ROS,SMOTE,809.0,0.718818,1.0,False,False,-0.0003,SMOTE,58,58
logistic_regression,H1,ROS,Borderline SMOTE,592.0,0.062431,0.93646,False,False,0.007,ROS,58,57
logistic_regression,H1,ROS,Class Weighting,772.5,0.667856,1.0,False,False,-0.0001,Class Weighting,58,57
logistic_regression,H1,SMOTE,Borderline SMOTE,401.5,0.001219,0.018284,True,True,0.0073,SMOTE,58,56
logistic_regression,H1,SMOTE,Class Weighting,762.5,0.471485,1.0,False,False,0.0002,SMOTE,58,58
logistic_regression,H1,Borderline SMOTE,Class Weighting,625.0,0.074318,1.0,False,False,-0.0071,Class Weighting,58,58
logistic_regression,H2,No Correction,Threshold Corr.,1.0,0.0,2e-06,True,True,-0.3192,Threshold Corr.,25,25
logistic_regression,H2,No Correction,ROS,0.0,0.0,1e-06,True,True,-0.3214,ROS,25,25
logistic_regression,H2,No Correction,SMOTE,0.0,0.0,1e-06,True,True,-0.3155,SMOTE,25,25
logistic_regression,H2,No Correction,Borderline SMOTE,1.0,0.0,2e-06,True,True,-0.3026,Borderline SMOTE,25,25
logistic_regression,H2,No Correction,Class Weighting,0.0,0.0,1e-06,True,True,-0.3201,Class Weighting,25,25
logistic_regression,H2,Threshold Corr.,ROS,150.0,0.750993,1.0,False,False,-0.0022,ROS,25,25
logistic_regression,H2,Threshold Corr.,SMOTE,162.0,1.0,1.0,False,False,0.0036,Threshold Corr.,25,25
logistic_regression,H2,Threshold Corr.,Borderline SMOTE,101.0,0.101397,1.0,False,False,0.0166,Threshold Corr.,25,25
logistic_regression,H2,Threshold Corr.,Class Weighting,128.0,0.353214,1.0,False,False,-0.0009,Class Weighting,25,25
logistic_regression,H2,ROS,SMOTE,82.0,0.030303,0.454548,True,False,0.0058,ROS,25,25
logistic_regression,H2,ROS,Borderline SMOTE,45.0,0.000912,0.013678,True,True,0.0188,ROS,25,25
logistic_regression,H2,ROS,Class Weighting,158.0,0.903609,1.0,False,False,0.0013,ROS,25,25
logistic_regression,H2,SMOTE,Borderline SMOTE,71.5,0.014335,0.215029,True,False,0.0129,SMOTE,25,25
logistic_regression,H2,SMOTE,Class Weighting,78.0,0.022982,0.344727,True,False,-0.0045,Class Weighting,25,25
logistic_regression,H2,Borderline SMOTE,Class Weighting,51.5,0.002819,0.042287,True,True,-0.0175,Class Weighting,25,25
logistic_regression,H3,No Correction,Threshold Corr.,0.0,0.003906,0.058594,True,False,-0.0362,Threshold Corr.,11,9
logistic_regression,H3,No Correction,ROS,1.5,0.011719,0.175781,True,False,-0.0328,ROS,11,9
logistic_regression,H3,No Correction,SMOTE,0.0,0.007812,0.117188,True,False,-0.0341,SMOTE,11,8
logistic_regression,H3,No Correction,Borderline SMOTE,3.0,0.039062,0.585938,True,False,-0.0299,Borderline SMOTE,11,8
logistic_regression,H3,No Correction,Class Weighting,2.0,0.011719,0.175781,True,False,-0.0338,Class Weighting,11,9
logistic_regression,H3,Threshold Corr.,ROS,16.0,0.496094,1.0,False,False,0.0034,Threshold Corr.,11,9
logistic_regression,H3,Threshold Corr.,SMOTE,9.0,0.25,1.0,False,False,0.0022,Threshold Corr.,11,8
logistic_regression,H3,Threshold Corr.,Borderline SMOTE,20.0,0.796875,1.0,False,False,0.0063,Threshold Corr.,11,9
logistic_regression,H3,Threshold Corr.,Class Weighting,12.0,0.25,1.0,False,False,0.0024,Threshold Corr.,11,9
logistic_regression,H3,ROS,SMOTE,8.5,0.210938,1.0,False,False,-0.0013,SMOTE,11,8
logistic_regression,H3,ROS,Borderline SMOTE,16.5,0.515625,1.0,False,False,0.0029,ROS,11,9
logistic_regression,H3,ROS,Class Weighting,10.0,0.578125,1.0,False,False,-0.001,Class Weighting,11,7
logistic_regression,H3,SMOTE,Borderline SMOTE,14.0,0.640625,1.0,False,False,0.0042,SMOTE,11,8
logistic_regression,H3,SMOTE,Class Weighting,17.0,0.546875,1.0,False,False,0.0003,SMOTE,11,9
logistic_regression,H3,Borderline SMOTE,Class Weighting,20.0,0.820312,1.0,False,False,-0.0039,Class Weighting,11,9
random_forest,H1,No Correction,Threshold Corr.,20.0,0.0,0.0,True,True,-0.1951,Threshold Corr.,58,58
random_forest,H1,No Correction,ROS,180.0,0.0,7e-06,True,True,-0.0537,ROS,58,56
random_forest,H1,No Correction,SMOTE,56.0,0.0,0.0,True,True,-0.1047,SMOTE,58,57
random_forest,H1,No Correction,Borderline SMOTE,275.5,1.2e-05,0.00018,True,True,-0.0675,Borderline SMOTE,58,57
random_forest,H1,No Correction,Class Weighting,315.0,4.8e-05,0.000724,True,True,0.0285,No Correction,58,57
random_forest,H1,Threshold Corr.,ROS,73.5,0.0,0.0,True,True,0.1414,Threshold Corr.,58,58
random_forest,H1,Threshold Corr.,SMOTE,145.5,0.0,1e-06,True,True,0.0904,Threshold Corr.,58,58
random_forest,H1,Threshold Corr.,Borderline SMOTE,56.0,0.0,0.0,True,True,0.1276,Threshold Corr.,58,58
random_forest,H1,Threshold Corr.,Class Weighting,21.0,0.0,0.0,True,True,0.2236,Threshold Corr.,58,58
random_forest,H1,ROS,SMOTE,215.5,1e-06,1.8e-05,True,True,-0.051,SMOTE,58,57
random_forest,H1,ROS,Borderline SMOTE,628.5,0.115682,1.0,False,False,-0.0138,Borderline SMOTE,58,57
random_forest,H1,ROS,Class Weighting,3.0,0.0,0.0,True,True,0.0822,ROS,58,57
random_forest,H1,SMOTE,Borderline SMOTE,85.0,0.0,0.0,True,True,0.0372,SMOTE,58,57
random_forest,H1,SMOTE,Class Weighting,70.0,0.0,0.0,True,True,0.1332,SMOTE,58,58
random_forest,H1,Borderline SMOTE,Class Weighting,148.0,0.0,1e-06,True,True,0.096,Borderline SMOTE,58,58
random_forest,H2,No Correction,Threshold Corr.,0.0,0.0,1e-06,True,True,-0.302,Threshold Corr.,25,25
random_forest,H2,No Correction,ROS,0.0,0.0,1e-06,True,True,-0.0965,ROS,25,25
random_forest,H2,No Correction,SMOTE,0.0,0.0,1e-06,True,True,-0.1612,SMOTE,25,25
random_forest,H2,No Correction,Borderline SMOTE,1.0,0.0,2e-06,True,True,-0.1276,Borderline SMOTE,25,25
random_forest,H2,No Correction,Class Weighting,50.0,0.022809,0.342128,True,False,-0.0181,Class Weighting,25,21
random_forest,H2,Threshold Corr.,ROS,18.0,1.5e-05,0.000226,True,True,0.2055,Threshold Corr.,25,25
random_forest,H2,Threshold Corr.,SMOTE,18.0,1.5e-05,0.000226,True,True,0.1407,Threshold Corr.,25,25
random_forest,H2,Threshold Corr.,Borderline SMOTE,13.0,5e-06,7.9e-05,True,True,0.1744,Threshold Corr.,25,25
random_forest,H2,Threshold Corr.,Class Weighting,0.0,0.0,1e-06,True,True,0.2838,Threshold Corr.,25,25
random_forest,H2,ROS,SMOTE,23.0,3.8e-05,0.000572,True,True,-0.0647,SMOTE,25,25
random_forest,H2,ROS,Borderline SMOTE,73.0,0.016023,0.240348,True,False,-0.0311,Borderline SMOTE,25,25
random_forest,H2,ROS,Class Weighting,0.0,1.2e-05,0.000184,True,True,0.0784,ROS,25,25
random_forest,H2,SMOTE,Borderline SMOTE,81.0,0.028306,0.424597,True,False,0.0337,SMOTE,25,25
random_forest,H2,SMOTE,Class Weighting,0.0,0.0,1e-06,True,True,0.1431,SMOTE,25,25
random_forest,H2,Borderline SMOTE,Class Weighting,0.0,0.0,1e-06,True,True,0.1094,Borderline SMOTE,25,25
random_forest,H3,No Correction,Threshold Corr.,1.0,0.007812,0.117188,True,False,-0.0178,Threshold Corr.,11,9
random_forest,H3,No Correction,ROS,10.0,0.3125,1.0,False,False,-0.0067,ROS,11,8
random_forest,H3,No Correction,SMOTE,7.0,0.074219,1.0,False,False,-0.0135,SMOTE,11,9
random_forest,H3,No Correction,Borderline SMOTE,16.0,0.84375,1.0,False,False,0.0016,No Correction,11,8
random_forest,H3,No Correction,Class Weighting,11.0,0.203125,1.0,False,False,0.0083,No Correction,11,9
random_forest,H3,Threshold Corr.,ROS,8.0,0.097656,1.0,False,False,0.011,Threshold Corr.,11,9
random_forest,H3,Threshold Corr.,SMOTE,11.5,0.398438,1.0,False,False,0.0043,Threshold Corr.,11,8
random_forest,H3,Threshold Corr.,Borderline SMOTE,4.0,0.027344,0.410156,True,False,0.0194,Threshold Corr.,11,9
random_forest,H3,Threshold Corr.,Class Weighting,2.0,0.011719,0.175781,True,False,0.0261,Threshold Corr.,11,9
random_forest,H3,ROS,SMOTE,3.0,0.039062,0.585938,True,False,-0.0068,SMOTE,11,8
random_forest,H3,ROS,Borderline SMOTE,14.0,0.359375,1.0,False,False,0.0083,ROS,11,9
random_forest,H3,ROS,Class Weighting,1.0,0.007812,0.117188,True,False,0.0151,ROS,11,9
random_forest,H3,SMOTE,Borderline SMOTE,3.0,0.019531,0.292969,True,False,0.0151,SMOTE,11,9
random_forest,H3,SMOTE,Class Weighting,1.0,0.007812,0.117188,True,False,0.0218,SMOTE,11,9
random_forest,H3,Borderline SMOTE,Class Weighting,15.0,0.425781,1.0,False,False,0.0067,Borderline SMOTE,11,9
xgboost,H1,No Correction,Threshold Corr.,4.0,0.0,0.0,True,True,-0.1441,Threshold Corr.,58,58
xgboost,H1,No Correction,ROS,32.0,0.0,0.0,True,True,-0.0728,ROS,58,58
xgboost,H1,No Correction,SMOTE,4.0,0.0,0.0,True,True,-0.0885,SMOTE,58,58
xgboost,H1,No Correction,Borderline SMOTE,72.5,0.0,0.0,True,True,-0.0719,Borderline SMOTE,58,58
xgboost,H1,No Correction,Class Weighting,31.0,0.0,0.0,True,True,-0.074,Class Weighting,58,58
xgboost,H1,Threshold Corr.,ROS,18.0,0.0,0.0,True,True,0.0713,Threshold Corr.,58,58
xgboost,H1,Threshold Corr.,SMOTE,53.0,0.0,0.0,True,True,0.0556,Threshold Corr.,58,58
xgboost,H1,Threshold Corr.,Borderline SMOTE,37.5,0.0,0.0,True,True,0.0722,Threshold Corr.,58,58
xgboost,H1,Threshold Corr.,Class Weighting,19.0,0.0,0.0,True,True,0.0701,Threshold Corr.,58,58
xgboost,H1,ROS,SMOTE,360.0,0.000125,0.001873,True,True,-0.0157,SMOTE,58,58
xgboost,H1,ROS,Borderline SMOTE,612.0,0.059391,0.89086,False,False,0.0009,ROS,58,58
xgboost,H1,ROS,Class Weighting,648.5,0.418278,1.0,False,False,-0.0012,Class Weighting,58,54
xgboost,H1,SMOTE,Borderline SMOTE,294.5,6.8e-05,0.001016,True,True,0.0166,SMOTE,58,55
xgboost,H1,SMOTE,Class Weighting,369.0,0.000165,0.002481,True,True,0.0145,SMOTE,58,58
xgboost,H1,Borderline SMOTE,Class Weighting,659.5,0.129136,1.0,False,False,-0.002,Class Weighting,58,58
xgboost,H2,No Correction,Threshold Corr.,0.0,0.0,1e-06,True,True,-0.1459,Threshold Corr.,25,25
xgboost,H2,No Correction,ROS,1.0,0.0,2e-06,True,True,-0.0575,ROS,25,25
xgboost,H2,No Correction,SMOTE,3.0,0.0,4e-06,True,True,-0.0919,SMOTE,25,25
xgboost,H2,No Correction,Borderline SMOTE,1.0,0.0,2e-06,True,True,-0.0849,Borderline SMOTE,25,25
xgboost,H2,No Correction,Class Weighting,1.0,0.0,2e-06,True,True,-0.0577,Class Weighting,25,25
xgboost,H2,Threshold Corr.,ROS,1.0,0.0,2e-06,True,True,0.0884,Threshold Corr.,25,25
xgboost,H2,Threshold Corr.,SMOTE,0.0,0.0,1e-06,True,True,0.054,Threshold Corr.,25,25
xgboost,H2,Threshold Corr.,Borderline SMOTE,0.0,0.0,1e-06,True,True,0.061,Threshold Corr.,25,25
xgboost,H2,Threshold Corr.,Class Weighting,4.0,0.0,6e-06,True,True,0.0882,Threshold Corr.,25,25
xgboost,H2,ROS,SMOTE,56.0,0.004161,0.06241,True,False,-0.0344,SMOTE,25,25
xgboost,H2,ROS,Borderline SMOTE,54.5,0.00366,0.054899,True,False,-0.0274,Borderline SMOTE,25,25
xgboost,H2,ROS,Class Weighting,126.5,0.501904,1.0,False,False,-0.0001,Class Weighting,25,24
xgboost,H2,SMOTE,Borderline SMOTE,114.0,0.191858,1.0,False,False,0.007,SMOTE,25,25
xgboost,H2,SMOTE,Class Weighting,62.5,0.007128,0.106917,True,False,0.0342,SMOTE,25,25
xgboost,H2,Borderline SMOTE,Class Weighting,69.0,0.011869,0.178031,True,False,0.0272,Borderline SMOTE,25,25
xgboost,H3,No Correction,Threshold Corr.,0.0,0.003906,0.058594,True,False,-0.0152,Threshold Corr.,11,9
xgboost,H3,No Correction,ROS,12.0,0.25,1.0,False,False,-0.0031,ROS,11,9
xgboost,H3,No Correction,SMOTE,7.0,0.074219,1.0,False,False,-0.0059,SMOTE,11,9
xgboost,H3,No Correction,Borderline SMOTE,1.0,0.015625,0.234375,True,False,-0.0041,Borderline SMOTE,11,8
xgboost,H3,No Correction,Class Weighting,12.0,0.25,1.0,False,False,-0.0031,Class Weighting,11,9
xgboost,H3,Threshold Corr.,ROS,3.0,0.019531,0.292969,True,False,0.0121,Threshold Corr.,11,9
xgboost,H3,Threshold Corr.,SMOTE,2.5,0.015625,0.234375,True,False,0.0093,Threshold Corr.,11,9
xgboost,H3,Threshold Corr.,Borderline SMOTE,6.0,0.054688,0.820312,False,False,0.0112,Threshold Corr.,11,9
xgboost,H3,Threshold Corr.,Class Weighting,2.0,0.011719,0.175781,True,False,0.0121,Threshold Corr.,11,9
xgboost,H3,ROS,SMOTE,5.0,0.15625,1.0,False,False,-0.0029,SMOTE,11,7
xgboost,H3,ROS,Borderline SMOTE,16.0,0.476562,1.0,False,False,-0.001,Borderline SMOTE,11,9
xgboost,H3,ROS,Class Weighting,14.0,0.640625,1.0,False,False,-0.0,Class Weighting,11,8
xgboost,H3,SMOTE,Borderline SMOTE,22.0,0.984375,1.0,False,False,0.0019,SMOTE,11,9
xgboost,H3,SMOTE,Class Weighting,12.0,0.460938,1.0,False,False,0.0028,SMOTE,11,8
xgboost,H3,Borderline SMOTE,Class Weighting,16.0,0.496094,1.0,False,False,0.001,Borderline SMOTE,11,9
